dataset,model,method,alpha,band,review_cost_multiplier,coverage_mean,automation_rate_mean,review_rate_mean,approved_default_rate_mean,expected_cost_mean
german_credit,xgb,uncertainty_band,,0.02,0.1,,0.81,0.19000000000000003,0.0,0.605
german_credit,xgb,uncertainty_band,,0.05,0.1,,0.7883333333333334,0.21166666666666667,,0.6141666666666666
german_credit,xgb,uncertainty_band,,0.02,0.2,,0.81,0.19000000000000003,0.0,0.7000000000000001
german_credit,xgb,uncertainty_band,,0.05,0.2,,0.7883333333333334,0.21166666666666667,,0.7200000000000001
german_credit,xgb,uncertainty_band,,0.1,0.2,,0.7233333333333333,0.27666666666666667,,0.73
uci_default,lr,split_conformal,0.1,,0.05,0.9078888888888889,0.07094444444444441,0.9290555555555556,0.0804046104840231,0.260375
uci_default,lr,split_conformal,0.1,,0.1,0.9078888888888889,0.07094444444444441,0.9290555555555556,0.0804046104840231,0.49263888888888885
uci_default,lr,split_conformal,0.1,,0.2,0.9078888888888889,0.07094444444444441,0.9290555555555556,0.0804046104840231,0.9571666666666667
uci_default,lr,uncertainty_band,,0.1,0.05,,0.29566666666666663,0.7043333333333334,,0.3473055555555556
uci_default,lr,uncertainty_band,,0.1,0.1,,0.29566666666666663,0.7043333333333334,,0.5233888888888889
uci_default,lr,uncertainty_band,,0.05,0.05,,0.8905555555555557,0.10944444444444441,0.1081081081081081,0.7068055555555555
uci_default,lr,uncertainty_band,,0.02,0.05,,0.9311111111111111,0.06888888888888883,0.090173791285726,0.7257777777777777
uci_default,lr,uncertainty_band,,0.05,0.1,,0.8905555555555557,0.10944444444444441,0.1081081081081081,0.7341666666666667
uci_default,lr,uncertainty_band,,0.02,0.1,,0.9311111111111111,0.06888888888888883,0.090173791285726,0.743
uci_default,lr,uncertainty_band,,0.02,0.2,,0.9311111111111111,0.06888888888888883,0.090173791285726,0.7774444444444444
uci_default,lr,uncertainty_band,,0.05,0.2,,0.8905555555555557,0.10944444444444441,0.1081081081081081,0.7888888888888889
uci_default,lr,uncertainty_band,,0.1,0.2,,0.29566666666666663,0.7043333333333334,,0.8755555555555556
uci_default,rf,split_conformal,0.1,,0.05,0.9060555555555556,0.29583333333333334,0.7041666666666666,0.06502695669841259,0.27048611111111104
uci_default,rf,split_conformal,0.1,,0.1,0.9060555555555556,0.29583333333333334,0.7041666666666666,0.06502695669841259,0.4465277777777777
uci_default,rf,split_conformal,0.1,,0.2,0.9060555555555556,0.29583333333333334,0.7041666666666666,0.06502695669841259,0.798611111111111
uci_default,rf,uncertainty_band,,0.1,0.05,,0.4053333333333333,0.5946666666666667,,0.3950555555555555
uci_default,rf,uncertainty_band,,0.05,0.05,,0.6129444444444444,0.38705555555555554,0.033407394801200065,0.48254166666666665
uci_default,rf,uncertainty_band,,0.1,0.1,,0.4053333333333333,0.5946666666666667,,0.5437222222222222
uci_default,rf,uncertainty_band,,0.02,0.05,,0.8632777777777778,0.1367222222222222,0.049255290113555394,0.5732361111111111
uci_default,rf,uncertainty_band,,0.05,0.1,,0.6129444444444444,0.38705555555555554,0.033407394801200065,0.5793055555555555
uci_default,rf,uncertainty_band,,0.02,0.1,,0.8632777777777778,0.1367222222222222,0.049255290113555394,0.6074166666666666
uci_default,rf,uncertainty_band,,0.02,0.2,,0.8632777777777778,0.1367222222222222,0.049255290113555394,0.6757777777777778
uci_default,rf,uncertainty_band,,0.05,0.2,,0.6129444444444444,0.38705555555555554,0.033407394801200065,0.7728333333333334
uci_default,rf,uncertainty_band,,0.1,0.2,,0.4053333333333333,0.5946666666666667,,0.8410555555555556
uci_default,xgb,split_conformal,0.1,,0.05,0.9098333333333333,0.2776666666666667,0.7223333333333333,0.06138352821152774,0.2650277777777778
uci_default,xgb,split_conformal,0.1,,0.1,0.9098333333333333,0.2776666666666667,0.7223333333333333,0.06138352821152774,0.4456111111111111
uci_default,xgb,split_conformal,0.1,,0.2,0.9098333333333333,0.2776666666666667,0.7223333333333333,0.06138352821152774,0.8067777777777777
uci_default,xgb,uncertainty_band,,0.1,0.05,,0.33666666666666667,0.6633333333333332,,0.35555555555555557
uci_default,xgb,uncertainty_band,,0.05,0.05,,0.606,0.39399999999999996,0.0353820306426941,0.5051111111111112
uci_default,xgb,uncertainty_band,,0.1,0.1,,0.33666666666666667,0.6633333333333332,,0.5213888888888889
uci_default,xgb,uncertainty_band,,0.02,0.05,,0.8112222222222222,0.1887777777777778,0.05381616401033617,0.5706944444444444
uci_default,xgb,uncertainty_band,,0.05,0.1,,0.606,0.39399999999999996,0.0353820306426941,0.6036111111111112
uci_default,xgb,uncertainty_band,,0.02,0.1,,0.8112222222222222,0.1887777777777778,0.05381616401033617,0.6178888888888889
uci_default,xgb,uncertainty_band,,0.02,0.2,,0.8112222222222222,0.1887777777777778,0.05381616401033617,0.7122777777777779
uci_default,xgb,uncertainty_band,,0.05,0.2,,0.606,0.39399999999999996,0.0353820306426941,0.800611111111111
uci_default,xgb,uncertainty_band,,0.1,0.2,,0.33666666666666667,0.6633333333333332,,0.8530555555555556
